chunk_idx,layer_idx,token_pos,G_TTR,best_learner,G_FULL_MODEL_PURPLE,G_PURPLE_LAYER,projection_gain,delta_norm,delta_WO_norm
0,6,57,0.2761826515197754,linear_attention,-0.24617242813110352,-0.2461566925048828,-0.06678056716918945,5.6280622482299805,19.108186721801758
0,6,58,0.0387374684214592,linear_attention,0.06571397185325623,0.06571441143751144,0.00021594762802124023,3.629838466644287,11.513867378234863
0,6,59,0.018459320068359375,window_soft,-0.4701700210571289,-0.4701716899871826,0.009425520896911621,2.9294610023498535,9.791259765625
0,6,60,-0.028254389762878418,sharp,0.2910701036453247,0.29107916355133057,-0.043965816497802734,19.92562484741211,65.65640258789062
0,6,61,0.6981358528137207,local_linear_attention,-0.7558541297912598,-0.7558507919311523,0.026013851165771484,3.0018296241760254,10.40652084350586
0,6,62,0.0175933837890625,linear_attention,-0.9212851524353027,-0.9212789535522461,-0.009101390838623047,2.7780113220214844,9.465031623840332
0,6,63,0.1199982762336731,knn_mean,0.09432274103164673,0.09433197975158691,-0.0007023811340332031,3.2743334770202637,11.714868545532227
0,6,64,0.44045770168304443,knn_mean,0.3724174499511719,0.37242770195007324,-0.022085189819335938,2.9052958488464355,9.993776321411133
0,6,65,0.16414093971252441,window_soft,0.017387986183166504,0.017392396926879883,-0.003954529762268066,3.039562463760376,10.341604232788086
0,6,66,0.020668208599090576,window_soft,0.03733662888407707,0.03733651340007782,0.0006997734308242798,11.825539588928223,34.83379364013672
0,6,67,0.28621768951416016,local_linear_attention,0.3372373580932617,0.33724498748779297,-0.004385471343994141,3.514906406402588,12.102538108825684
0,6,68,0.29334819316864014,linear_attention,-0.9070937633514404,-0.9070956707000732,-0.012079596519470215,15.018646240234375,48.1715202331543
0,6,69,0.26593267917633057,weighted_linear,0.06415200233459473,0.06414544582366943,0.0006515979766845703,9.666694641113281,29.44708824157715
0,6,70,0.6267805099487305,linear_global,3.573802947998047,3.573817253112793,-0.12875938415527344,14.970926284790039,45.31222915649414
0,6,71,0.10010266304016113,sharp,-0.368430495262146,-0.36842894554138184,0.007708072662353516,13.040987014770508,41.03367233276367
0,6,72,0.031072497367858887,knn_mean,0.893892765045166,0.8938919901847839,-0.03725326061248779,3.14516282081604,11.023757934570312
0,6,73,-0.03649049997329712,sharp,-0.41773438453674316,-0.4177277088165283,0.0062408447265625,6.891948699951172,19.583995819091797
0,6,74,1.2835495471954346,window_soft,0.5808594226837158,0.580855131149292,-0.025420188903808594,3.678835391998291,12.090681076049805
0,6,75,0.200484037399292,sharp,0.3112063407897949,0.3112006187438965,-0.0051288604736328125,3.025338888168335,9.727179527282715
0,6,76,0.011862501502037048,sharp,-0.007354050874710083,-0.00735415518283844,-0.0009852349758148193,9.600881576538086,28.936145782470703
0,6,77,0.30047106742858887,linear_attention,-0.10420441627502441,-0.1042325496673584,-0.003012418746948242,5.953184604644775,22.650341033935547
0,6,78,1.7401714324951172,local_linear_attention,-2.1831932067871094,-2.183180809020996,-0.0015707015991210938,16.213672637939453,52.516727447509766
0,6,79,0.14510200917720795,weighted_linear,0.13761217892169952,0.13761265575885773,-0.012654632329940796,10.30288314819336,31.866039276123047
0,6,80,0.04058837890625,sharp,0.02176189422607422,0.021766185760498047,0.005055427551269531,11.933873176574707,36.20777130126953
0,6,81,-0.04572248458862305,sharp,-0.6971628665924072,-0.6971495151519775,0.07635617256164551,10.15406608581543,31.18381690979004
